Biblio,Nbre_livres,nbr_livres_etr,nbr_livres_ht,generalite,generalht,philosophie,philoht,religion,religionht,scssociales,socialeht,langues ,langht,scsnature,scsnatureht,technique,techniqueht,art,art ht,Litt,litht,geohist,geohist ht,Roman,Romanht,Romanj,Romanjht,Conte,conteht,Poesie,poesieht,Théâtre,teyatht,Biographie,Biographie_ht,BD,BD_ht,Albums,Albums_ht
Centre Culturel et de Recherche pour l'épanouissement de la Jeunesse,2680,1494,1186,62,16,139,20,54,7,344,607,52,21,201,22,130,53,107,85,186,91,156,241,0,0,0,0,0,0,0,0,0,0,63,23,0,0,0,0
Amis Lecteurs de Port Salut,1512,1512,0,52,0,21,0,25,0,423,0,78,0,172,0,24,0,19,0,97,0,132,0,256,0,81,0,17,0,109,0,6,0,0,0,0,0,0,0
Bibliotaptap,1466,931,535,0,0,27,0,7,2,67,85,14,5,74,4,7,0,19,33,1,0,7,2,128,290,348,0,182,23,33,84,17,7,0,0,0,0,0,0
Centre Culturel Pyepoudre,5229,5229,0,104,0,74,0,31,0,414,0,47,0,132,0,93,0,41,0,146,0,167,0,1999,0,976,0,379,0,585,0,41,0,0,0,0,0,0,0
Bibliothèque Monique Calixte,17617,13765,3852,343,39,304,37,60,39,2054,583,376,71,755,43,773,103,1164,213,364,216,458,611,2110,772,1066,0,333,49,342,505,570,64,257,75,495,318,1941,114
Bibliothèque Communautaire Deschapelles ,3907,2582,1325,116,23,42,24,38,54,142,201,79,46,79,103,71,41,64,44,55,35,127,140,560,222,463,0,573,273,43,109,130,10,0,0,0,0,0,0
Bibliothèque Aux Trois Dumas.,6439,5853,586,240,0,188,0,141,0,381,2,58,0,142,23,234,2,272,31,121,31,626,133,2887,215,200,0,67,26,156,111,140,12,0,0,0,0,0,0
Bibliothèque Communautaire de Fond des Blancs,790,790,0,30,0,0,0,15,0,30,0,10,0,0,0,0,0,10,0,200,0,20,0,200,0,200,0,20,0,15,0,40,0,0,0,0,0,0,0
Bibliothèque Jacques Roumain de Carice: BIJARC,827,827,0,35,0,5,0,30,0,130,0,84,0,28,0,65,0,14,0,24,0,119,0,173,0,0,0,31,0,73,0,16,0,0,0,0,0,0,0
Bibliothèque Jean François Brierre de Pestel,1711,1122,589,44,6,35,0,11,1,309,232,33,3,28,2,49,3,11,8,39,21,99,70,337,204,84,0,10,9,27,26,6,4,0,0,0,0,0,0
Centre Culturel Katherine Dunham,7750,6186,1564,139,7,292,7,68,15,574,429,165,23,404,35,258,25,422,98,121,81,112,183,2622,315,436,52,254,74,227,201,92,19,102,0,825,0,798,0
Bibliothèque RASIN LESPWA,3566,2448,1118,156,14,68,7,74,22,552,227,102,15,156,12,69,20,89,21,95,82,92,154,345,298,500,0,53,60,58,179,39,7,0,0,0,0,0,0
Bibliothèque Jean Valbrune Bresil de Fond-parisien,4276,2952,1324,105,0,17,2,10,0,751,589,680,0,84,0,0,0,10,4,372,237,40,20,435,217,40,0,30,15,372,237,6,3,0,0,0,0,0,0
Bibliothèque de l'IPDEC des Cayes,5487,4683,804,466,0,182,0,74,0,213,435,171,0,317,0,159,0,21,0,162,0,310,0,1935,369,378,0,0,0,175,0,120,0,0,0,0,0,0,0
Bibliothèque spécialisée Roger Dorsinville de la SHAA,5022,5022,0,73,0,71,0,90,0,718,0,154,0,100,0,80,0,60,0,110,0,310,0,1296,0,465,0,345,0,230,0,80,0,0,0,135,0,600,0
